"date","nusuarios","ntrials","nusuariosnuevos","ntrialsnuevos","ntrialsservidor"
1507321503.926223,8696,2565670,0,873,2185330
1507325115.178606,8698,2566341,2,671,2185996
1507328560.13121,8699,2566787,1,446,2186465
1507332307.650734,8699,2567425,0,638,2187051
1507335895.269505,8699,2567695,0,270,2187370
1507339510.558089,8700,2568033,1,338,2187670
1507342958.771081,8701,2568571,1,538,2188255
1507346573.932887,8703,2569085,2,514,2188770
1507350156.635744,8704,2569585,1,500,2189262
1507353748.820051,8704,2570043,0,458,2189712
1507357343.61923,8705,2570256,1,213,2189945
1507360947.611037,8706,2570306,1,50,2189995
1507364600.559024,8706,2570317,0,11,2190006
1507368094.811734,8707,2570358,1,41,2190047
1507371856.848598,8708,2571029,1,671,2190661
1507375443.442339,8708,2571126,0,97,2190815
1507379049.131817,8709,2571365,1,239,2191055
1507382637.903268,8711,2572003,2,638,2191667
1507386259.489229,8712,2572493,1,490,2192164
1507396937.262862,8719,2574539,7,2046,2194222
1507400535.354681,8720,2575414,1,875,2195108
1507404155.65529,8723,2576257,3,843,2195910
1507407907.29013,8724,2576948,1,691,2196622
1507411518.87991,8727,2577271,3,323,2196928
1507415118.796239,8728,2578539,1,1268,2198228
1507418716.33182,8731,2579031,3,492,2198701
1507422310.639416,8731,2579782,0,751,2199481
1507425951.853684,8733,2580255,2,473,2199929
1507429388.973151,8733,2580427,0,172,2200128
1507432990.746958,8733,2580621,0,194,2200270
1507436452.67737,8734,2580931,1,310,2200632
1507440051.914328,8736,2581496,2,565,2201197
1507443657.197182,8737,2582036,1,540,2201738
1507447248.22572,8738,2582125,1,89,2201827
1507450854.256709,8738,2582194,0,69,2201896
1507454445.783024,8738,2582197,0,3,2201900
1507458217.684756,8739,2582279,1,82,2201982
1507461808.123429,8739,2582313,0,34,2202016
1507465246.613306,8739,2582348,0,35,2202034
1507469011.806285,8740,2582799,1,451,2202483
1507472616.143993,8743,2583107,3,308,2202679
1507476233.757515,8744,2583485,1,378,2203191
1507479837.806753,8747,2584260,3,775,2203946
1507483424.222866,8750,2584659,3,399,2204348
1507487025.222611,8751,2584940,1,281,2204630
1507490507.463423,8753,2586108,2,1168,2205807
1507497842.990376,8758,2587162,5,1054,2206803
1507501309.414388,8759,2587838,1,676,2207541
1507508737.660916,8768,2590422,9,2584,2210130
1507512204.712678,8768,2590758,0,336,2210474
1507515658.375703,8773,2591367,5,609,2211084
1507519272.312047,8774,2592024,1,657,2211687
1507522858.59269,8775,2592554,1,530,2212271
1507526455.243823,8775,2592675,0,121,2212392
1507530059.752476,8775,2592833,0,158,2212551
1507533654.259162,8777,2593006,2,173,2212724
1507537410.762339,8777,2593015,0,9,2212730
1507540867.514199,8777,2593133,0,118,2212852
1507548225.44566,8778,2593300,1,167,2212959
1507551698.518768,8778,2594196,0,896,2213915
1507555287.216051,8779,2594719,1,523,2214438
1507559085.42408,8779,2594768,0,49,2214467
1507562637.889325,8781,2595084,2,316,2214803
1507566241.821621,8782,2595527,1,443,2215227
1507573456.143469,8786,2596808,4,1281,2216529
1507580652.281565,8789,2597704,3,896,2217429
1507587854.040117,8794,2598661,5,957,2218386
1507591319.28949,8795,2599341,1,680,2219047
1507594933.522689,8796,2600218,1,877,2219945
1507602331.131171,8800,2601626,4,1408,2221313
1507605672.954531,8802,2602263,2,637,2221990
1507609410.055418,8803,2602947,1,684,2222665
1507612867.550618,8803,2603239,0,292,2222967
1507616487.509166,8805,2603807,2,568,2223535
1507620067.669436,8807,2603935,2,128,2223663
1507623672.997792,8807,2603935,0,0,2223663
1507627415.479163,8807,2603941,0,6,2223669
1507645456.522315,8810,2606298,3,2357,2226026
1507652659.779065,8812,2608150,2,1852,2227860
1507655533.243178,8814,2608684,2,534,2228415
1507656102.818057,8814,2608684,0,0,2228415
1507659726.0852,8815,2608923,1,239,2228654
1507663310.459264,8817,2609527,2,604,2229258
1507666910.167461,8817,2609748,0,221,2229479
1507786372.117034,8871,2627282,54,17534,2247009
1507789445.58101,8873,2627437,2,155,2247182
